variavel,media,mediana,variancia,desvio_padrao,q25,q75,minimo,maximo
600 Base,7.65871088142406,7.1,4.4811245116604725,2.1168666730950423,6.21,9.37,1.34,14.9
600 Peak,8.456046511627907,8.06,4.2146866792433935,2.05297020904917,7.35,10.1,1.63,15.5
602 Base,11.323785529715762,10.8,7.703350075460358,2.7754909611563066,9.4,12.7,2.44,22.1
602 Peak,11.632223657766293,11.3,7.763874236258608,2.7863729535470676,9.6,13.3,2.55,22.1
605 Base,18.23808211312087,19.5,38.260568467628325,6.185512789383619,12,22.8,4.4,36.4
605 Peak,18.43693654895205,19.5,39.91366794342493,6.317726485328795,12,22.9,4.4,38.2
620 Base,8.944684180304336,8.87,8.922348005053362,2.987029963869355,6.44,11.5,2.32,22.4
620 Peak,8.984744473155326,8.92,8.753550710001754,2.958640010207689,6.5,11.5,2.32,22.4
623 Base,15.541668102210737,13.5,48.682339787028326,6.97727309104555,9.72,19,2.82,35.2
623 Peak,16.026380993396497,13.6,51.38797973651738,7.168540976831853,10.3,20.2,2.82,38.9
625 Base,17.538489807637095,16.9,34.4983763263139,5.873531844326197,12.3,22,3.44,37.6
625 Peak,17.92805483778352,17.4,37.34276785973467,6.110872921255577,12.5,22.8,3.56,37.8
631 Base,6.214705713465404,6.04,1.8158725551633315,1.3475431552137138,5.17,7.24,1.27,10.8
631 Peak,6.217474877978754,6.04,1.8193976860163168,1.3488505054365056,5.15,7.24,1.27,10.8
641 Base,5.177850846971002,4.99,1.1715096519784642,1.0823629945533357,4.34,5.96,0.979,8.78
641 Peak,5.18291975308642,4.99,1.1777061042558472,1.0852216843833555,4.35,5.96,0.979,8.78
648 Base,20.687538041917886,19.4,54.72645735497758,7.397733257895799,14.1,26,3.45,47.1
648 Peak,20.679372667240884,19.4,55.269665119677796,7.434357075072316,14.1,26,3.45,47.2
657 Base,22.30414010910135,23.2,27.87316628847861,5.279504360115504,20.2,25.8,2.42,38
657 Peak,22.427921332184898,23.2,27.600227523458727,5.253591868755959,20.3,25.8,2.42,39.1
Processor MHz,2622.5021533161066,2500,336911.7426371429,580.4409897975356,2100,3000,1700,4700
cache_l1_kb,33.12087281079529,32,34.61654344483997,5.883582534888074,32,32,32,64
cache_l2_kb,1226.565604364054,1024,333170.4332403167,577.209176330658,1024,2048,256,4096
cache_l3_kb,97639.45104794718,38400,19637099881.277935,140132.4369347723,22528,107520,2048,1179648
